id,,Totals,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
49,Elon University,547.5430034,7,10,7,5.6,7,10,7,10,10,0.7389162562,2.266009852,10,7,10,0,1.061946903,7,5.25,0,3.851620679,20,15,0,10.464,7,7,7,16.6,15.00318718,7,7,0,6.753237884,9.99,9.611050077,0,4.131455399,15.88,1.88,0,0,7,0,0,7,0,7,0,12.4261701,18.16360902,10,20,15,16.5,10,30,15,25,0,0,7,40,26.3718
50,Emory University,684.3425162,7,10,7,7,7,10,7,10,10,1.081081081,6.718146718,10,7,10,10,0.9127789047,7,7,0.1065623869,6.446647936,20,15,0,,7,7,7,49.38941189,0,7,7,7,7,9.99,5.534156927,0,5.390532544,14.2,10.8,10,10,7,7,7,7,7,7,25,13.8709737,19.6422241,10,20,30,30,10,30,15,25,0,0,7,40,26.26
51,Endicott College,556.9192658,7,10,7,5.6,7,10,7,10,10,2.375296912,5.700712589,3.263052209,7,10,0,2,6.611111111,7,0,0,20,0,15,13,7,7,7,16.6,0,7,7,0,7,6.66,0,0,5.714285714,18,1,0,10,7,0,0,0,0,7,25,16.59614279,18.89866447,10,20,0,30,10,30,15,25,0,0,7,40,29.9
52,Florida Gulf Coast University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
53,Fort Lewis College,585.1764966,7,2.5,7,4.9,7,10,7,10,0,0.2811621368,1.593252109,6.317411402,7,10,0,0.2510460251,4.403225806,7,0,8,20,15,0,10.4,7,7,0,50,15.07138638,7,7,0,6.987616756,9.99,15,0,0,12.8,4.2,10,10,7,0,0,7,0,0,0,13.41991342,18.94148253,10,20,30,30,10,30,0,25,0,0,7,40,29.12
54,Furman University,650.5399749,7,7.5,7,6.3,7,10,7,10,10,2.481617647,10,10,7,10,0,2.103174603,7,7,0,6.542581684,20,25,15,14,7,7,7,50,15.50162466,7,0,7,6.725123038,6.66,7.139338691,0,9.682539683,17,2.06,10,0,0,7,0,0,0,0,25,15.14832271,18.69565217,10,20,30,30,10,30,15,25,0,0,7,40,0
55,George Washington University,724.5521761,7,10,7,7,7,10,7,10,10,2.086765513,2.855573861,5.90341057,7,10,10,3.434343434,7,7,0,7.987708403,20,20,15,11.934,7,7,7,48.39756274,17.94809457,7,7,0,5.307608722,9.99,6.069840012,7,4.916666667,17.02,14.16,10,10,7,7,7,7,0,7,25,13.27455548,18.96103896,10,20,24.13460717,30,10,30,15,25,0,0,7,40,30.1704
56,Georgia College & State University,319.7060996,7,10,7,6.3,7,10,7,10,0,0.06811989101,1.498637602,1.800327332,0,10,0,1.205211726,6,5.25,0.3085089093,5,20,5,0,13,7,0,0,0,0,0,0,0,0,0,0,0,8.235294118,14,0,0,0,7,7,7,0,0,7,0,0,0,0,0,,0,0,30,0,25,0,0,7,40,27.04
57,Gonzaga University,522.6726021,0,7.5,7,4.2,7,10,7,10,0,0.06818181818,0.4772727273,3.654188948,7,0,0,0.2777777778,4.06,0,8,8,20,15,0,12.6,7,0,0,23.17495001,19.50002243,7,7,0,0,3.33,1.5,0,0.3787878788,0,3.8,10,10,7,7,7,7,0,7,0,18.7191582,19.25546228,5,20,30,24,10,10,15,25,0,0,7,40,39.1768
58,Green Mountain College,633.7675798,7,10,7,7,7,10,7,10,10,7.798165138,10,10,7,10,0,5.957446809,7,5.25,0,0,20,15,0,15.432,7,7,7,16.6,15.33707574,7,7,0,5.029007956,9.99,7.068690935,0,2.666666667,18.808,9.382,10,10,7,7,0,7,0,7,0,14.9895266,0,10,20,0,27,10,30,15,25,15,20,7,40,43.459
59,Guilford College,574.2539295,0,10,7,5.6,7,10,7,10,10,1.219512195,1.463414634,1.630434783,7,10,0,0,0,0,0.03811894274,0,20,25,0,18.4,7,7,7,50,0,7,7,0,7,9.99,11.82746661,0,13.02325581,11.08,0,10,0,0,0,0,0,7,0,25,15.64112649,0,10,20,30,24,10,30,15,25,0,0,7,30,26.3406
60,Hampshire College,613.9298371,7,10,7,7,7,10,7,10,10,2.572463768,0.9782608696,4.708737864,7,10,0,1.652892562,7,7,0,6.769230769,20,15,0,15.2,7,7,7,50,15.00943959,7,7,0,0,3.33,1.5,0,0.2777777778,2.6,1.68,10,10,7,7,7,7,0,7,0,15.08163265,12.48292986,10,20,26.80604343,22.5,10,30,15,25,15,0,7,40,27.780428
